Compressor Roll Force,Punch Stiffness,Pre-compressor Roll Force,Tab Cylinder High (main),Tab Fill Depth,Magnesium Citrate Quality,Particle Size Retention,Potency Concentration,Output
19.05000019,72,3,0.680000007,9.210000038,99.7,2,99.51,bad
19.30000019,75.5,3,0.690000027,9.210000038,99.7,2,99.51,bad
19.09999943,74,3,0.710000008,9.199999809,99.7,2,99.51,bad
17.04999924,75.5,2.450000048,0.689999998,8.325000286,99.3,3.8,99.09,bad
19.5,60,2.549999952,0.640000015,8.414999962,99.3,3.8,99.09,bad
18.34999943,125,2.600000024,0.640000015,9.254999638,100,1.8,99.77,bad
19.14999962,135,2.299999952,0.640000015,9.174999714,100,1.8,99.77,bad
19.69999981,129,2.299999952,0.640000015,9.164999962,100,1.8,99.77,bad
17.05000019,89.5,1.600000024,0.639999986,9.324999809,100,1.8,99.77,bad
17.30000019,106.5,1.75,0.680000007,9.440000057,100,1.8,99.77,bad
17.5,116.5,1.75,0.680000007,9.404999733,100,1.8,99.77,bad
17.95000076,110,1.800000012,0.670000017,9.449999809,100,1.8,99.77,bad
15,88,2.350000024,0.685000002,9.335000038,100.1,2.35,99.765,bad
15.79999971,87.5,2.399999976,0.675000012,9.364999771,100.1,2.35,99.765,bad
16.25,91,2.5,0.705000013,9.364999771,100.1,2.35,99.765,bad
16.39999962,92,2.549999952,0.724999994,9.329999924,100.1,2.35,99.765,bad
17.60000038,104,2.649999976,0.675000012,9.015000343,100.2,2,99.77,bad
16.89999962,73.5,2.649999976,0.620000005,9.119999886,100.2,1.1,99.78,bad
17.29999924,96.5,2.549999952,0.610000014,9.069999695,100.2,1.1,99.78,bad
17.30000019,98.5,2.5,0.600000024,9.090000153,100.2,1.1,99.78,bad
8.5,98.5,1.350000024,0.300000012,4.449999809,100.2,1.1,99.78,bad
18.55000019,90.5,2.549999952,0.61500001,9.004999638,100.2,1.1,99.78,bad
18.80000019,86.5,2.399999976,0.620000005,9.065000057,100.2,1.1,99.78,bad
16.84999943,90,2.550000072,0.650000006,9.199999809,100.2,1.1,99.78,bad
17.35000038,98,2.699999928,0.675000012,9.170000076,100.2,1.1,99.78,bad
17.55000019,112,2.899999976,0.685000002,9.235000134,100.2,1.1,99.78,bad
18.05000019,108.5,2.75,0.705000013,9.154999733,100.2,1.1,99.78,bad
17.15000057,95,2.700000048,0.705000013,9.164999962,100.2,1.1,99.78,bad
15.75,79.5,2.649999976,0.669999987,9.309999943,99.75,1.4,99.42,bad
16.19999981,91.5,2.549999952,0.629999995,9.394999981,99.75,1.4,99.42,bad
16.65000057,91.5,2.5,0.629999995,9.279999733,99.75,1.4,99.42,bad
17.64999962,104,2.600000024,0.629999995,9.304999828,99.75,1.4,99.42,bad
18.44999981,92.5,2.649999976,0.650000006,9.40500021,99.75,1.4,99.42,bad
18.60000038,88,2.649999976,0.650000006,9.399999619,99.75,1.4,99.42,bad
16.75,80.5,2.25,0.650000006,9.255000114,99.3,1.7,99.06,bad
17.64999962,96,2.199999928,0.63499999,9.184999943,99.3,1.7,99.06,bad
18,98.5,1.25,0.689999998,9.339999676,99.3,1.7,99.06,bad
17.80000019,90.5,1.25,0.689999998,9.240000248,99.3,1.7,99.06,bad
17.89999962,90.5,1.149999976,0.710000008,9.245000362,99.3,1.7,99.06,bad
17.85000038,85.5,1.75,0.699999988,9.464999676,99.55,2.55,99.32,bad
17.5,81.5,1.75,0.699999988,9.470000267,99.55,2.55,99.32,bad
17.14999962,82,2.300000072,0.665000021,9.460000038,99.8,3.4,99.58,bad
17.75,83.5,2.399999976,0.665000021,9.539999962,99.8,3.4,99.58,bad
17.34999943,86,2.300000072,0.665000021,9.474999905,99.8,3.4,99.58,bad
16.14999962,80.5,2.100000024,0.665000021,9.59499979,99.8,3.4,99.58,bad
16.90000057,76.5,2.199999928,0.665000021,9.640000343,99.8,3.4,99.58,bad
17.35000038,75.5,2.149999976,0.665000021,9.625,99.8,3.4,99.58,bad
17.5,52,2.199999928,0.685000002,9.664999962,99.8,3.4,99.58,bad
18.05000019,79.5,2.25,0.665000021,9.71999979,99.8,3.4,99.58,bad
18,78,2.300000072,0.665000021,9.674999714,99.8,3.4,99.58,bad
18.39999962,88.5,1.650000036,0.659999996,8.885000229,99.4,3.5,99.18,bad
16.30000019,90,1.949999988,0.665000021,9.404999733,99,3.6,98.78,bad
16.55000019,91,2.149999976,0.670000017,9.619999886,99,3.6,98.78,bad
17,102,2.100000024,0.670000017,9.504999638,99,3.6,98.78,bad
17.84999943,101,2.149999976,0.680000007,9.53000021,99,3.6,98.78,bad
17.75,101.5,2.199999928,0.680000007,9.545000076,99,3.6,98.78,bad
18.75,85.5,2.049999952,0.61500001,9.31000042,98.9,3.5,98.675,bad
18.80000019,78,2.049999952,0.625,9.360000134,98.9,3.5,98.675,bad
18.94999981,80.5,2.049999952,0.645000011,9.325000286,98.9,3.5,98.675,bad
17.30000019,76.5,2.149999976,0.659999996,9.21999979,98.8,3.4,98.57,bad
17.40000057,88.5,2.149999976,0.644999981,9.449999809,98.8,3.4,98.57,bad
18.09999943,97,2.350000024,0.644999981,9.494999886,98.8,3.4,98.57,bad
16.39999962,90,2.25,0.680000007,9.335000038,99.2,1.8,98.99,bad
18.34999943,92,2.25,0.665000021,9.43999958,99.2,1.8,98.99,bad
17.44999981,81.5,2.25,0.675000012,9.235000134,99.2,1.8,98.99,bad
17.44999981,82.5,2.149999976,0.675000012,9.21999979,99.2,1.8,98.99,bad
17.75,162,2.149999976,0.620000005,8.720000267,99.45,2.55,99.24,bad
18.30000019,155.5,2.25,0.655000001,8.739999771,99.45,2.55,99.24,bad
18,154.5,2.25,0.659999996,8.735000134,99.45,2.55,99.24,bad
15.54999971,142,2.699999928,0.655000001,8.894999981,99.9,3.1,99.7,bad
16.3499999,129.5,2.949999928,0.670000017,8.894999981,99.7,2.25,99.49,bad
17.09999943,136,3.050000072,0.680000007,8.93500042,99.7,2.25,99.49,bad
17.60000038,139,3.049999952,0.695000023,8.865000248,99.7,2.25,99.49,bad
17.34999943,141.5,3.050000072,0.674999982,8.889999866,99.7,2.25,99.49,bad
15.44999981,133.5,2.75,0.674999982,8.744999886,99.5,1.4,99.28,bad
16.30000019,120.5,2.850000024,0.694999993,8.735000134,99.3,4.2,99.1,bad
16.05000019,134.5,2.850000024,0.675000012,8.715000153,99.3,4.2,99.1,bad
16.89999962,135.5,3.050000072,0.694999993,8.799999714,99.3,4.2,99.1,bad
16.54999971,134,3,0.694999993,8.789999962,99.3,4.2,99.1,bad
15.4000001,169,2.899999976,0.715000004,8.724999905,99.4,2.75,99.19,bad
15.4000001,169,2.899999976,0.715000004,8.724999905,99.4,2.75,99.19,bad
16.3499999,124.5,2.949999928,0.685000002,8.849999905,99.4,2.75,99.19,bad
17.25,126.5,2.649999976,0.715000004,8.965000153,99.5,1.3,99.28,bad
16.85000038,127.5,2.5,0.715000004,8.899999619,99.5,1.3,99.28,bad
18.20000076,134,2.300000072,0.639999986,8.779999733,99.5,1.3,99.28,bad
17.90000057,125.5,2.350000024,0.63499999,8.784999847,99.5,1.3,99.28,bad
17.65000057,122,2.25,0.685000002,8.765000343,99.5,1.3,99.28,bad
17.75,126,2.200000048,0.704999983,8.775000095,99.5,1.3,99.28,bad
17.10000038,120.5,2.299999952,0.694999993,8.754999638,99.35,2.4,99.125,bad
16.35000038,120,2.149999976,0.694999993,8.914999962,99.2,3.5,98.97,bad
16.45000029,119,2.349999905,0.689999998,9.184999943,99.2,3.5,98.97,bad
16.45000029,109,2.399999976,0.704999983,9.259999752,99.2,3.5,98.97,bad
16.55000019,110.5,2.299999952,0.704999983,9.159999847,99.2,3.5,98.97,bad
17.85000038,82,2.200000048,0.655000001,9.059999943,99.1,3,98.88,bad
